Date,HE,MW
1/30/23,3,2399.57053
1/30/23,4,2656.109176
1/30/23,5,3887.836764
1/30/23,6,1468.403582
1/30/23,7,2714.114375
1/30/23,8,3420.363902
1/30/23,9,2413.83309
1/30/23,10,4060.672208
1/30/23,11,2322.532119
1/30/23,12,1974.848544
1/30/23,13,1602.090297
1/30/23,14,3265.091305
1/30/23,15,4036.656692
1/30/23,16,3044.294588
1/30/23,17,3295.67384
1/30/23,18,2023.595497
1/30/23,19,2538.288012
1/30/23,20,2452.216205
1/30/23,21,1234.267096
1/30/23,22,1912.49924
1/30/23,23,2707.112036
1/30/23,24,2515.63688
1/31/23,1,1094.290534
1/31/23,2,1692.218219
1/31/23,3,3179.070199
1/31/23,4,15.34627914
1/31/23,5,1625.445613
1/31/23,6,1000.760245
1/31/23,7,1723.044224
1/31/23,8,1637.747092
1/31/23,9,158.3922298
1/31/23,10,122.4355498
1/31/23,11,1345.687311
1/31/23,12,-751.1664284
1/31/23,14,889.2333502
1/31/23,15,1244.521877
1/31/23,16,1355.147665
1/31/23,17,-474.1215438
1/31/23,18,265.1963336
1/31/23,19,615.7817673
1/31/23,20,1329.605484
1/31/23,21,-338.5539403
1/31/23,22,752.7424993
1/31/23,23,1125.456263
1/31/23,24,-216.1198279
2/1/23,1,1611.604389
2/1/23,2,680.0565908
2/1/23,3,1474.317575
2/1/23,4,2149.723874
2/1/23,5,2080.718823
2/1/23,6,1375.162005
2/1/23,7,2135.230023
2/1/23,8,1537.016444
2/1/23,9,2317.409909
2/1/23,10,1972.178848
2/1/23,11,1620.13157
2/1/23,12,2253.866666
2/1/23,13,1358.033989
2/1/23,14,1594.092245
2/1/23,15,905.1414108
2/1/23,16,1644.931051
2/1/23,17,2203.783292
2/1/23,18,2495.922953
2/1/23,19,2028.454207
2/1/23,20,3053.955285
2/1/23,21,4355.679433
2/1/23,22,3122.320126
2/1/23,23,4982.394643
2/1/23,24,5026.015891
2/2/23,1,4391.55926
