Date,HE,Area,MW,,,
1/27/23,19,RTO,8032.522,,,
1/27/23,20,RTO,8328.886,,,
1/27/23,21,RTO,8027.433,,,
1/27/23,22,RTO,7817.894,,,
1/27/23,23,RTO,7859.909,,,
1/27/23,24,RTO,7542.966,,,
1/28/23,1,RTO,7125.398,,,
1/28/23,2,RTO,6277.37,,,
1/28/23,3,RTO,4911.243,,,
1/28/23,4,RTO,3629.097,,,
1/28/23,5,RTO,2878.316,,,
1/28/23,6,RTO,2340.924,,,
1/28/23,7,RTO,2275.967,,,
1/28/23,8,RTO,2302.687,,,
1/28/23,9,RTO,2176.925,,,
1/28/23,10,RTO,1938.187,,,
1/28/23,11,RTO,1976.33,,,
1/28/23,12,RTO,2136.609,,,
1/28/23,13,RTO,2387.095,,,
1/28/23,14,RTO,2407.504,,,
1/28/23,15,RTO,2356.121,,,
1/28/23,16,RTO,2522.411,,,
1/28/23,17,RTO,3317.42,,,
1/28/23,18,RTO,3573.718,,,
1/28/23,19,RTO,3848.875,,,
1/28/23,20,RTO,4471.54,,,
1/28/23,21,RTO,4227.857,,,
1/28/23,22,RTO,3851.232,,,
1/28/23,23,RTO,4223.404,,,
1/28/23,24,RTO,4901.328,,,
1/29/23,1,RTO,4956.679,,,
1/29/23,2,RTO,4857.462,,,
1/29/23,3,RTO,4753.716,,,
1/29/23,4,RTO,4489.855,,,
1/29/23,5,RTO,4894.854,,,
1/29/23,6,RTO,4613.332,,,
1/29/23,7,RTO,4544.968,,,
1/29/23,8,RTO,4381.101,,,
1/29/23,9,RTO,4522.942,,,
1/29/23,10,RTO,4290.313,,,
1/29/23,11,RTO,3727.573,,,
1/29/23,12,RTO,3646.024,,,
1/29/23,13,RTO,3250.541,,,
1/29/23,14,RTO,2726.199,,,
1/29/23,15,RTO,2451.875,,,
1/29/23,16,RTO,2290.373,,,
1/29/23,17,RTO,2174.578,,,
1/29/23,18,RTO,1998.346,,,
1/29/23,19,RTO,1610.7,,,
1/29/23,20,RTO,2215.126,,,
1/29/23,21,RTO,1960.693,,,
1/29/23,22,RTO,1601.491,,,
1/29/23,23,RTO,1598.687,,,
1/29/23,24,RTO,1663.453,,,
1/30/23,1,RTO,1878.147,,,
1/30/23,2,RTO,1957.235,,,
1/30/23,3,RTO,2091.485,,,
1/30/23,4,RTO,2394.915,,,
1/30/23,5,RTO,2749.405,,,
1/30/23,6,RTO,2685.605,,,
1/30/23,7,RTO,2846.877,,,
1/30/23,8,RTO,3048.576,,,
1/30/23,9,RTO,3219.795,,,
1/30/23,10,RTO,3531.95,,,
1/30/23,11,RTO,3306.528,,,
1/30/23,12,RTO,3043.692,,,
